Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
137,137,VSS,VZZ_B_6,Bottom,Outside,1.009269538,22.11766633,0.5,-2.465,0.88,-3.4,77,
138,138,sdo_D_token_i,sdo_D_token_i,Bottom,Inside,3.829262727,21.74256111,0.54,-2.369,1.9585,-5.92584,77,
139,139,VDD,VDD_B_8,Bottom,Outside,2.106182705,19.61581676,0.58,-2.465,1.28707,-4.44895,78,
140,140,sdo_D_ncmd_o,sdo_D_ncmd_o,Bottom,Inside,3.868978444,24.48894668,0.62,-2.369,2.22376,-5.88993,78,
141,141,VSS,VSS_B_8,Bottom,Outside,1.016968534,23.16160164,0.66,-2.465,1.06,-3.4,79,
142,142,sdo_D_data_0_o,sdo_D_data_0_o,Bottom,Inside,3.913043405,27.19631192,0.7,-2.369,2.48842,-5.84944,79,
143,143,V33,V33_B_7,Bottom,Outside,3.01952283,25.60983094,0.74,-2.465,2.04516,-5.18788,80,
144,144,sdo_D_data_1_o,sdo_D_data_1_o,Bottom,Inside,3.961332864,29.86186871,0.78,-2.369,2.75239,-5.80438,80,
145,145,VSS,VZZ_B_7,Bottom,Outside,1.065046947,28.61045967,0.82,-2.465,1.33,-3.4,81,
146,146,sdo_D_data_2_o,sdo_D_data_2_o,Bottom,Inside,4.013732658,32.48346542,0.86,-2.369,3.0156,-5.75477,81,
147,147,VDD,VDD_B_9,Bottom,Outside,2.230004873,31.38482955,0.9,-2.465,2.06135,-4.36873,82,
148,148,sdo_D_data_3_o,sdo_D_data_3_o,Bottom,Inside,4.070093645,35.05948559,0.94,-2.369,3.27797,-5.7006,82,
149,149,VSS,VSS_B_9,Bottom,Outside,1.133060016,34.39132724,0.98,-2.465,1.62,-3.4,83,
150,150,sdo_D_data_4_o,sdo_D_data_4_o,Bottom,Inside,4.130282763,37.58840908,1.02,-2.369,3.53941,-5.64189,83,
151,151,V33,V33_B_8,Bottom,Outside,3.222043343,36.24547283,1.06,-2.465,2.96502,-5.06355,84,
152,152,sdo_D_data_5_o,sdo_D_data_5_o,Bottom,Inside,4.194166538,40.06961458,1.1,-2.369,3.79986,-5.57864,84,
153,153,VSS,VZZ_B_8,Bottom,Outside,1.224060864,40.19512844,1.14,-2.465,1.93,-3.4,85,
154,154,sdo_D_data_6_o,sdo_D_data_6_o,Bottom,Inside,4.261616516,42.50225419,1.18,-2.369,4.05923,-5.51088,85,
155,155,VDD,VDD_B_10,Bottom,Outside,2.411719643,42.2750314,1.22,-2.465,2.84234,-4.24949,86,
156,156,sdo_D_data_7_o,sdo_D_data_7_o,Bottom,Inside,4.33248715,44.88619503,1.26,-2.369,4.31744,-5.43861,86,
157,157,VSS,VSS_B_10,Bottom,Outside,1.332938483,45.45592496,1.3,-2.465,2.25,-3.4,87,
158,158,sdo_D_sclk_ex_o,sdo_D_sclk_ex_o,Bottom,Inside,4.406649427,47.2214317,1.34,-2.369,4.57441,-5.36185,87,
159,159,V33,V33_B_9,Bottom,Outside,3.543700244,47.2281183,1.38,-2.465,3.9813,-4.87146,88,
160,160,sdo_D_tkn_ex_i,sdo_D_tkn_ex_i,Bottom,Inside,4.483983545,49.50830675,1.42,-2.369,4.83007,-5.28062,88,
