Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
175,175,BSG_TAG_DATA_O,bsg_tag_data_o_PAD,W,O,5.076109754,6.565951977,-1.439207,0.221,-6.482022,0.801437,0.075,0.044
176,176,VSS,vzz_l_4_PAD,W,I,1.060638971,7.149184561,-1.347607,0.258,-2.4,0.39,0.075,0.044
177,177,BSG_TAG_CLK_O,bsg_tag_clk_o_PAD,W,O,5.088035734,8.753085085,-1.439207,0.295,-6.467984,1.06928,0.075,0.044
178,178,VDD,vdd_l_5_PAD,W,I,3.766195454,8.973835103,-1.347607,0.369,-5.067703,0.956464,0.075,0.044
179,179,CO2_0_O,co2_0_o_PAD,W,O,5.098308255,10.71269954,-1.439207,0.406,-6.44866,1.353696,0.075,0.044
180,180,VSS,vss_l_5_PAD,W,I,1.06717385,9.547118048,-1.347607,0.443,-2.4,0.62,0.075,0.044
181,181,CO2_1_O,co2_1_o_PAD,W,O,5.117641033,13.02313384,-1.439207,0.48,-6.425218,1.633232,0.075,0.044
182,182,V18,v18_l_5_PAD,W,I,2.520738072,13.37252882,-1.347607,0.517,-3.8,1.1,0.075,0.044
183,183,CO2_2_O,co2_2_o_PAD,W,O,5.140812583,15.31565856,-1.439207,0.554,-6.397445,1.911877,0.075,0.044
184,184,VSS,vzz_l_5_PAD,W,I,1.086228349,14.33825244,-1.347607,0.591,-2.4,0.86,0.075,0.044
185,185,CO2_3_O,co2_3_o_PAD,W,O,5.166796184,17.53194813,-1.439207,0.628,-6.366001,2.184433,0.075,0.044
186,186,VDD,vdd_l_6_PAD,W,I,3.783638208,14.76474102,-1.347607,0.663,-5.006311,1.627263,0.075,0.044
187,187,CO2_4_O,co2_4_o_PAD,W,O,5.196253428,19.71476473,-1.439207,0.7,-6.330875,2.452893,0.075,0.044
188,188,VSS,vss_l_6_PAD,W,I,1.106878506,18.05202549,-1.347607,0.737,-2.4,1.08,0.075,0.044
189,189,CO2_CLK_O,co2_clk_o_PAD,W,O,5.230562903,21.96026989,-1.439207,0.774,-6.290258,2.73004,0.075,0.044
190,190,V18,v18_l_6_PAD,W,I,2.640581835,21.76197926,-1.347607,0.811,-3.8,1.79,0.075,0.044
191,191,CO2_TKN_I,co2_tkn_i_PAD,W,O,5.26765457,24.14761361,-1.439207,0.848,-6.245913,3.002939,0.075,0.044
192,192,VSS,vzz_l_6_PAD,W,I,1.134969615,21.99090217,-1.347607,0.885,-2.4,1.31,0.075,0.044
193,193,CO2_V_O,co2_v_o_PAD,W,O,5.30852374,26.3264303,-1.439207,0.922,-6.197141,3.276249,0.075,0.044
194,194,VDD,vdd_l_7_PAD,W,I,3.893192802,26.3732958,-1.347607,0.996,-4.835592,2.725425,0.075,0.044
195,195,CO2_5_O,co2_5_o_PAD,W,O,5.335344824,28.13559256,-1.439207,1.033,-6.144096,3.548934,0.075,0.044
196,196,VSS,vss_l_7_PAD,W,I,1.160875112,24.96694726,-1.347607,1.07,-2.4,1.56,0.075,0.044
197,197,CO2_6_O,co2_6_o_PAD,W,O,5.38579398,30.40870084,-1.439207,1.107,-6.084114,3.833099,0.075,0.044
198,198,V18,v18_l_7_PAD,W,I,2.826847613,29.82640499,-1.347607,1.144,-3.8,2.55,0.075,0.044
