Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
195,195,CO2_5_O,co2_5_o_PAD,W,O,5.335344824,28.13559256,-1.439207,1.033,-6.144096,3.548934,0.075,0.044
197,197,CO2_6_O,co2_6_o_PAD,W,O,5.38579398,30.40870084,-1.439207,1.107,-6.084114,3.833099,0.075,0.044
199,199,CO2_7_O,co2_7_o_PAD,W,O,5.438665577,32.60944027,-1.439207,1.181,-6.020541,4.111949,0.075,0.044
201,201,CO2_8_O,co2_8_o_PAD,W,O,5.49372011,34.74266776,-1.439207,1.255,-5.953506,4.385825,0.075,0.044
189,189,CO2_CLK_O,co2_clk_o_PAD,W,O,5.230562903,21.96026989,-1.439207,0.774,-6.290258,2.73004,0.075,0.044
191,191,CO2_TKN_I,co2_tkn_i_PAD,W,O,5.26765457,24.14761361,-1.439207,0.848,-6.245913,3.002939,0.075,0.044
193,193,CO2_V_O,co2_v_o_PAD,W,O,5.30852374,26.3264303,-1.439207,0.922,-6.197141,3.276249,0.075,0.044
245,245,CORE_ASYNC_RESE,core_async_reset_i_PAD,N,I,5.234542373,76.00316327,0.35,1.347661,1.61607,6.426785,0.044,0.075
93,93,DDR_ADDR_0_O,ddr_addr_0_o_PAD,S,O,5.104086038,79.01061808,0.367,-1.439207,1.339977,-6.449697,0.044,0.075
95,95,DDR_ADDR_1_O,ddr_addr_1_o_PAD,S,O,5.091495984,81.07046711,0.262,-1.439207,1.0523,-6.468994,0.044,0.075
113,113,DDR_ADDR_10_O,ddr_addr_10_o_PAD,S,O,5.11237428,77.99263699,-0.403,-1.439207,-1.466565,-6.439727,0.044,0.075
115,115,DDR_ADDR_11_O,ddr_addr_11_o_PAD,S,O,5.136227258,75.60097638,-0.473,-1.439207,-1.750243,-6.414092,0.044,0.075
117,117,DDR_ADDR_12_O,ddr_addr_12_o_PAD,S,O,5.168407064,72.98702758,-0.543,-1.439207,-2.055215,-6.381437,0.044,0.075
119,119,DDR_ADDR_13_O,ddr_addr_13_o_PAD,S,O,5.203230516,70.54517862,-0.613,-1.439207,-2.346006,-6.345356,0.044,0.075
121,121,DDR_ADDR_14_O,ddr_addr_14_o_PAD,S,O,5.243165912,68.10640485,-0.683,-1.439207,-2.638093,-6.304225,0.044,0.075
123,123,DDR_ADDR_15_O,ddr_addr_15_o_PAD,S,O,5.291640181,65.53685078,-0.753,-1.439207,-2.94431,-6.255805,0.044,0.075
97,97,DDR_ADDR_2_O,ddr_addr_2_o_PAD,S,O,5.077276927,83.45178476,0.192,-1.439207,0.771009,-6.483361,0.044,0.075
99,99,DDR_ADDR_3_O,ddr_addr_3_o_PAD,S,O,5.067496319,85.82517101,0.122,-1.439207,0.490914,-6.493257,0.044,0.075
101,101,DDR_ADDR_4_O,ddr_addr_4_o_PAD,S,O,5.062032007,88.20751104,0.052,-1.439207,0.210339,-6.498762,0.044,0.075
103,103,DDR_ADDR_5_O,ddr_addr_5_o_PAD,S,O,5.060923768,89.40950921,-0.018,-1.439207,-0.070157,-6.499862,0.044,0.075
105,105,DDR_ADDR_6_O,ddr_addr_6_o_PAD,S,O,5.064535717,86.90154175,-0.088,-1.439207,-0.361748,-6.496339,0.044,0.075
107,107,DDR_ADDR_7_O,ddr_addr_7_o_PAD,S,O,5.072473334,84.51124571,-0.158,-1.439207,-0.643184,-6.488423,0.044,0.075
109,109,DDR_ADDR_8_O,ddr_addr_8_o_PAD,S,O,5.08398229,82.23441473,-0.228,-1.439207,-0.91495,-6.476565,0.044,0.075
