Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
203,co_0_i_PAD,N,I,-1.225,1.347661,0.044,0.075
204,vss_t_0_PAD,N,O,-1.19,1.439207,0.044,0.075
205,co_1_i_PAD,N,I,-1.155,1.347661,0.044,0.075
206,v18_t_0_PAD,N,O,-1.12,1.439207,0.044,0.075
207,co_2_i_PAD,N,I,-1.085,1.347661,0.044,0.075
208,vzz_t_0_PAD,N,O,-1.05,1.439207,0.044,0.075
209,co_3_i_PAD,N,I,-0.98,1.347661,0.044,0.075
210,vdd_t_1_PAD,N,O,-0.945,1.439207,0.044,0.075
211,co_4_i_PAD,N,I,-0.91,1.347661,0.044,0.075
212,vss_t_1_PAD,N,O,-0.875,1.439207,0.044,0.075
213,co_clk_i_PAD,N,I,-0.84,1.347661,0.044,0.075
214,v18_t_1_PAD,N,O,-0.805,1.439207,0.044,0.075
215,co_tkn_o_PAD,N,I,-0.77,1.347661,0.044,0.075
216,vzz_t_1_PAD,N,O,-0.735,1.439207,0.044,0.075
217,co_v_i_PAD,N,I,-0.7,1.347661,0.044,0.075
218,vdd_t_2_PAD,N,O,-0.665,1.439207,0.044,0.075
219,co_5_i_PAD,N,I,-0.63,1.347661,0.044,0.075
220,vss_t_2_PAD,N,O,-0.595,1.439207,0.044,0.075
221,co_6_i_PAD,N,I,-0.56,1.347661,0.044,0.075
222,v18_t_2_PAD,N,O,-0.525,1.439207,0.044,0.075
223,co_7_i_PAD,N,I,-0.455,1.347661,0.044,0.075
224,vzz_t_2_PAD,N,O,-0.42,1.439207,0.044,0.075
225,co_8_i_PAD,N,I,-0.385,1.347661,0.044,0.075
226,vdd_t_3_PAD,N,O,-0.35,1.439207,0.044,0.075
227,clk_A_i_PAD,N,I,-0.315,1.347661,0.044,0.075
228,vss_t_3_PAD,N,O,-0.28,1.439207,0.044,0.075
229,clk_B_i_PAD,N,I,-0.245,1.347661,0.044,0.075
230,v18_t_3_PAD,N,O,-0.21,1.439207,0.044,0.075
231,clk_C_i_PAD,N,I,-0.175,1.347661,0.044,0.075
232,vzz_t_3_PAD,N,O,-0.14,1.439207,0.044,0.075
233,clk_o_PAD,N,I,-0.105,1.347661,0.044,0.075
234,vdd_pll_PAD,N,O,-0.035,1.439207,0.044,0.075
235,clk_async_reset_i_PAD,N,I,0.0,1.347661,0.044,0.075
236,vss_pll_PAD,N,O,0.035,1.439207,0.044,0.075
237,misc_o_PAD,N,I,0.07,1.347661,0.044,0.075
238,vdd_t_4_PAD,N,O,0.105,1.439207,0.044,0.075
239,sel_0_i_PAD,N,I,0.14,1.347661,0.044,0.075
240,vss_t_4_PAD,N,O,0.175,1.439207,0.044,0.075
241,sel_1_i_PAD,N,I,0.21,1.347661,0.044,0.075
242,v18_t_4_PAD,N,O,0.245,1.439207,0.044,0.075
243,sel_2_i_PAD,N,I,0.28,1.347661,0.044,0.075
244,vzz_t_4_PAD,N,O,0.315,1.439207,0.044,0.075
245,core_async_reset_i_PAD,N,I,0.35,1.347661,0.044,0.075
246,vdd_t_5_PAD,N,O,0.42,1.439207,0.044,0.075
247,ci2_0_o_PAD,N,I,0.455,1.347661,0.044,0.075
248,vss_t_5_PAD,N,O,0.49,1.439207,0.044,0.075
249,ci2_1_o_PAD,N,I,0.525,1.347661,0.044,0.075
250,v18_t_5_PAD,N,O,0.56,1.439207,0.044,0.075
251,ci2_2_o_PAD,N,I,0.595,1.347661,0.044,0.075
252,vzz_t_5_PAD,N,O,0.63,1.439207,0.044,0.075
253,ci2_3_o_PAD,N,I,0.665,1.347661,0.044,0.075
254,vdd_t_6_PAD,N,O,0.7,1.439207,0.044,0.075
255,ci2_4_o_PAD,N,I,0.735,1.347661,0.044,0.075
256,vss_t_6_PAD,N,O,0.77,1.439207,0.044,0.075
257,ci2_clk_o_PAD,N,I,0.805,1.347661,0.044,0.075
258,v18_t_6_PAD,N,O,0.84,1.439207,0.044,0.075
259,ci2_tkn_i_PAD,N,I,0.875,1.347661,0.044,0.075
260,vzz_t_6_PAD,N,O,0.91,1.439207,0.044,0.075
261,ci2_v_o_PAD,N,I,0.945,1.347661,0.044,0.075
262,vdd_t_7_PAD,N,O,1.015,1.439207,0.044,0.075
263,ci2_5_o_PAD,N,I,1.05,1.347661,0.044,0.075
264,vss_t_7_PAD,N,O,1.085,1.439207,0.044,0.075
265,ci2_6_o_PAD,N,I,1.12,1.347661,0.044,0.075
266,v18_t_7_PAD,N,O,1.155,1.439207,0.044,0.075
267,ci2_7_o_PAD,N,I,1.19,1.347661,0.044,0.075
268,vzz_t_7_PAD,N,O,1.225,1.439207,0.044,0.075
269,ci2_8_o_PAD,N,I,1.26,1.347661,0.044,0.075
