Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
83,83,sdo_C_ncmd_o,sdo_C_ncmd_o,Bottom,Inside,4.77926753234324,16.7541682276796,-0.56025,-1.3520205,-1.93795,-5.92841,41,
84,84,VSS,VZZ_B_4,Bottom,Outside,1.97876835362815,7.55750582918928,-0.51975,-1.4384205,-0.78,-3.4,42,
85,85,sdo_C_token_i,sdo_C_token_i,Bottom,Inside,4.75929455843198,14.5153924319483,-0.47925,-1.3520205,-1.67212,-5.9594,42,
86,86,VDD,VDD_B_4,Bottom,Outside,3.09327869073258,12.0199067079803,-0.43875,-1.4384205,-1.08293,-4.46388,43,
87,87,JTAG_TMS_i,JTAG_TMS_i,Bottom,Inside,4.74205966970263,12.2675675527268,-0.39825,-1.3520205,-1.40583,-5.9858,43,
88,88,VSS,VSS_B_4,Bottom,Outside,1.97903238915391,7.61490567909736,-0.35775,-1.4384205,-0.62,-3.4,44,
89,89,sdo_C_sclk_o,sdo_C_sclk_o,Bottom,Inside,4.72759375925007,10.0119615358344,-0.31725,-1.3520205,-1.13916,-6.00762,44,
90,90,VDD,VDD_B_5,Bottom,Outside,3.08006532404919,8.70445614747406,-0.27675,-1.4384205,-0.74288,-4.48301,45,
91,91,JTAG_TDI_i,JTAG_TDI_i,Bottom,Inside,4.71591440511384,7.74993324105811,-0.23625,-1.3520205,-0.87219,-6.02486,45,
92,92,VSS,VSS_B_5,Bottom,Outside,1.96616815082542,3.91520319804735,-0.19575,-1.4384205,-0.33,-3.4,46,
93,93,PLL_VDD_i,PLL_VDD_i,Bottom,Inside,3.16009350480334,6.38372141270054,-0.14175,-1.3520205,-0.49311,-4.49252,46,
94,94,V33,V33_B_5,Bottom,Outside,,,,,-0.51145,-5.29301,47,No bond pad - leave disconnected
95,95,PLL_VSS_i,PLL_VSS_i,Bottom,Inside,3.15168210419773,3.41684875186465,-0.06075,-1.3520205,-0.24859,-4.4981,47,
96,96,VSS,VZZ_B_5,Bottom,Outside,,,,,-0.09,-3.4,48,No bond pad - leave disconnected
97,97,PLL_CLK_i,PLL_CLK_i,Bottom,Inside,4.70142385412763,2.79288079565979,0.02025,-1.3520205,-0.20883,-6.04786,48,
98,98,VDD,VDD_B_6,Bottom,Outside,,,,,1.01E-02,-4.5,49,No bond pad - leave disconnected
99,99,PLL_V33_i,PLL_V33_i,Bottom,Inside,3.14961148987621,2.72901108675565,0.10125,-1.3520205,0.25121,-4.49806,49,
100,100,VSS,VSS_B_6,Bottom,Outside,,,,,0.23201,-3.4,50,No bond pad - leave disconnected
101,101,PLL_VZZ_i,PLL_VZZ_i,Bottom,Inside,3.15515301933048,5.46537471448974,0.18225,-1.3520205,0.48276,-4.49283,50,
102,102,VDD,VDD_B_7,Bottom,Outside,3.08422924994888,9.09424796532692,0.23625,-1.4384205,0.72374,-4.48388,51,
103,103,JTAG_TCK_i,JTAG_TCK_i,Bottom,Inside,4.7371221618732,10.7433872218644,0.27675,-1.3520205,1.1598,-6.00611,51,
104,104,VSS,VSS_B_7,Bottom,Outside,1.98635512870188,9.05886879634545,0.31725,-1.4384205,0.63,-3.4,52,
105,105,sdo_D_sclk_o,sdo_D_sclk_o,Bottom,Inside,4.75360669077494,12.9920976070744,0.35775,-1.3520205,1.42644,-5.98394,52,
106,106,V33,V33_B_6,Bottom,Outside,3.92691159504136,13.7711582594813,0.39825,-1.4384205,1.33303,-5.25245,53,
107,107,JTAG_TRST_i,JTAG_TRST_i,Bottom,Inside,4.77282773866188,15.2319255318682,0.43875,-1.3520205,1.6927,-5.95718,53,
108,108,VSS,VZZ_B_6,Bottom,Outside,2.0020975743755,11.5466120074051,0.47925,-1.4384205,0.88,-3.4,54,
109,109,sdo_D_token_i,sdo_D_token_i,Bottom,Inside,4.79477073290061,17.4615964067611,0.51975,-1.3520205,1.9585,-5.92584,54,
110,110,VDD,VDD_B_8,Bottom,Outside,3.09702360061564,13.572960486884,0.56025,-1.4384205,1.28707,-4.44895,55,
111,111,sdo_D_ncmd_o,sdo_D_ncmd_o,Bottom,Inside,4.81941740154246,19.679888572764,0.60075,-1.3520205,2.22376,-5.88993,55,
112,112,VSS,VSS_B_8,Bottom,Outside,2.00577807778434,12.0503892299304,0.64125,-1.4384205,1.06,-3.4,56,
113,113,sdo_D_data_0_o,sdo_D_data_0_o,Bottom,Inside,4.84673484398314,21.8859489184428,0.68175,-1.3520205,2.48842,-5.84944,56,
114,114,V33,V33_B_7,Bottom,Outside,3.97599514716005,19.4342099898377,0.72225,-1.4384205,2.04516,-5.18788,57,
115,115,sdo_D_data_1_o,sdo_D_data_1_o,Bottom,Inside,4.87669687871209,24.078586329651,0.76275,-1.3520205,2.75239,-5.80438,57,
116,116,VSS,VZZ_B_7,Bottom,Outside,2.03107353321347,15.0312363805209,0.80325,-1.4384205,1.33,-3.4,58,
